m,us/ft,gAPI,m3/m3,mD,m3/m3,g/cm3,V/V
4863.1,61.434700012,143.80430603,0.060800001,-9999,0.070100002,2.4593000412,0.0452333353
4863.2,61.39899826,149.31419373,0.0628999993,-9999,0.0687333345,2.4605000019,0.0546666682
4863.3,61.346698761,156.04139709,0.0654999986,-9999,0.0697999969,2.4568998814,0.0573999994
4863.4,61.287700653,162.10850525,0.0689999983,-9999,0.0722666681,2.451800108,0.0660666674
4863.5,61.25220108,165.40679932,0.0725999996,-9999,0.0736000016,2.4482998848,0.0727000013
4863.6,61.257701874,165.57029724,0.0750999972,-9999,0.0737999976,2.4470999241,0.0772999972
4863.7,61.296901703,163.40100098,0.0751999989,-9999,0.0736000016,2.4474999905,0.0742999986
4863.8,61.41009903,160.4703064,0.0734999999,-9999,0.0737333298,2.447799921,0.0702333376
4863.9,61.532699585,158.04040527,0.0715999976,-9999,0.0741999969,2.4468998909,0.0650999993
4864,61.662200928,156.26930237,0.0705000013,-9999,0.078066662,2.4433999062,0.0531000011
4864.1,61.725399017,154.6598053,0.0705000013,-9999,0.081766665,2.4361000061,0.0434999987
4864.2,61.752601624,153.09669495,0.0710000023,-9999,0.0852999985,2.4265999794,0.0362999998
4864.3,61.742401123,151.97309875,0.0715000033,-9999,0.0896333307,2.4177999496,0.0290333331
4864.4,61.623001099,152.36390686,0.0722000003,-9999,0.0908666626,2.415199995,0.0290333331
4864.5,61.458099365,154.91679382,0.0732999966,-9999,0.0890000015,2.4205999374,0.0362999998
4864.6,61.240501404,159.42630005,0.075000003,-9999,0.0790000036,2.4328000546,0.0690333322
4864.7,61.019298553,164.27180481,0.077200003,-9999,0.071800001,2.447799921,0.0931333303
4864.8,60.792900085,167.35299683,0.0790999979,-9999,0.067400001,2.4605000019,0.1085999981
4864.9,60.558898926,168.0579071,0.0799999982,-9999,0.0637999997,2.4686000347,0.1189333349
4865,60.510398865,167.01849365,0.0794999972,-9999,0.0624666661,2.4711999893,0.1215333343
4865.1,60.559700012,165.47219849,0.0782999992,-9999,0.0634000003,2.4684998989,0.1164000034
4865.2,60.741500854,163.71429443,0.0772999972,-9999,0.0676000044,2.4623000622,0.1027333364
4865.3,61.097301483,161.26130676,0.0771000013,-9999,0.0698666722,2.4560000896,0.0951666683
4865.4,61.488700867,158.42030334,0.0768999979,-9999,0.0702000037,2.4549000263,0.0936999992
4865.5,61.876701355,156.4703064,0.0764999986,-9999,0.0634000003,2.461400032,0.1108999997
4865.6,62.28950119,156.67480469,0.0763000026,-9999,0.0566666648,2.4760000706,0.1304666698
4865.7,62.644901276,160.53610229,0.0776999965,-9999,0.0500000007,2.4974000454,0.1524000019
4865.8,62.8083992,168.47019958,0.0812000036,-9999,0.0368000008,2.5202999115,0.2119333297
4865.9,62.856899261,180.68359375,0.0878000036,-9999,0.0295000002,2.5390000343,0.2549999952
4866,62.830898285,195.26060486,0.0975999981,-9999,0.0281000007,2.543900013,0.2815999985
4866.1,62.682201385,206.86650085,0.1066000015,-9999,0.0391666666,2.5325000286,0.2775999904
4866.2,62.551799774,210.6605072,0.1094999984,0.5422,0.0490666665,2.5085000992,0.2551666498
4866.3,62.422100067,203.82380676,0.1026000008,-9999,0.0577999987,2.4797999859,0.2143000066
4866.4,62.250598907,190.73599243,0.0907000005,-9999,0.0713999942,2.4553999901,0.1246333346
